service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
120584,1,1,1,1,1,0,0,20201005,20210319
117816,1,1,1,0,0,0,0,20201005,20210319
114531,0,1,1,0,0,0,0,20201005,20210319
112627,0,1,1,0,0,0,0,20201005,20210319
99316,0,0,0,0,0,0,0,20201005,20210319
98037,0,0,0,0,0,0,0,20201005,20210319
97313,0,0,0,0,0,0,0,20201005,20210318
32923,0,0,0,0,0,1,0,20201010,20210313
29276,0,0,0,0,0,0,1,20201011,20210314
27734,0,0,0,0,0,1,0,20201010,20210313
26939,0,0,0,0,0,0,1,20201011,20210314
25991,0,0,0,0,0,0,1,20201011,20210314
23223,0,0,0,0,0,0,1,20201011,20210314
