fare_id,route_id,origin_id,destination_id,contains_id
501,100236,1,1,
501,100239,1,1,
100,100272,1,1,
915,100340,1,1,
915,102638,1,1,
101,,1,3,
101,,1,5,
101,,1,19,
501,100232,1,19,
101,,1,20,
101,,1,21,
501,100232,1,21,
501,100236,1,21,
501,100239,1,21,
501,100240,1,21,
100,100272,1,21,
915,100340,1,21,
501,100511,1,21,
915,102638,1,21,
101,,1,24,
701,100337,1,39,
101,,3,1,
101,,3,3,
101,,3,4,
101,,3,5,
101,,3,6,
101,,3,8,
101,,3,9,
101,,3,14,
101,,3,17,
101,,3,18,
101,,3,19,
101,,3,20,
101,,3,21,
101,,3,22,
101,,3,24,
101,,3,26,
101,,3,36,
101,,3,39,
101,,3,40,
101,,4,3,
101,,4,4,
101,,4,5,
101,,4,6,
101,,4,8,
101,,4,9,
101,,4,14,
101,,4,17,
101,,4,18,
101,,4,19,
101,,4,20,
101,,4,21,
101,,4,22,
101,,4,24,
101,,4,26,
101,,4,36,
101,,4,39,
101,,4,40,
101,,5,3,
101,,5,4,
101,,5,5,
101,,5,6,
101,,5,8,
101,,5,9,
101,,5,14,
101,,5,17,
101,,5,18,
101,,5,19,
101,,5,20,
101,,5,21,
101,,5,22,
101,,5,24,
101,,5,26,
101,,5,36,
101,,5,39,
101,,5,40,
101,,6,3,
101,,6,4,
101,,6,5,
101,,6,6,
101,,6,8,
101,,6,9,
101,,6,14,
101,,6,17,
101,,6,18,
101,,6,19,
101,,6,20,
101,,6,21,
101,,6,22,
101,,6,24,
101,,6,26,
101,,6,36,
101,,6,39,
101,,6,40,
101,,8,3,
101,,8,4,
101,,8,5,
101,,8,6,
101,,8,8,
101,,8,9,
101,,8,14,
101,,8,17,
101,,8,18,
101,,8,19,
101,,8,20,
101,,8,21,
101,,8,22,
101,,8,24,
101,,8,26,
101,,8,36,
101,,8,39,
101,,8,40,
101,,9,3,
101,,9,4,
101,,9,5,
101,,9,6,
101,,9,8,
101,,9,9,
101,,9,14,
101,,9,17,
101,,9,18,
101,,9,19,
101,,9,20,
101,,9,21,
101,,9,22,
101,,9,24,
101,,9,26,
101,,9,36,
101,,9,39,
101,,9,40,
101,,14,3,
101,,14,4,
101,,14,5,
101,,14,6,
101,,14,8,
101,,14,9,
101,,14,14,
101,,14,17,
101,,14,18,
101,,14,19,
101,,14,20,
101,,14,21,
101,,14,22,
101,,14,24,
101,,14,26,
101,,14,36,
101,,14,39,
101,,14,40,
101,,17,3,
101,,17,4,
101,,17,5,
101,,17,6,
101,,17,8,
101,,17,9,
101,,17,14,
101,,17,17,
101,,17,18,
101,,17,19,
101,,17,20,
101,,17,21,
101,,17,22,
101,,17,24,
101,,17,26,
101,,17,36,
101,,17,39,
101,,17,40,
101,,18,3,
101,,18,4,
101,,18,5,
101,,18,6,
101,,18,8,
101,,18,9,
101,,18,14,
101,,18,17,
101,,18,18,
101,,18,19,
101,,18,20,
101,,18,21,
101,,18,22,
101,,18,24,
101,,18,26,
101,,18,36,
101,,18,39,
101,,18,40,
501,100236,19,1,
501,100511,19,1,
101,,19,3,
101,,19,4,
101,,19,5,
101,,19,6,
101,,19,8,
101,,19,9,
101,,19,14,
101,,19,17,
101,,19,18,
101,,19,19,
501,100232,19,19,
501,100236,19,19,
501,100239,19,19,
501,100240,19,19,
501,100511,19,19,
101,,19,20,
501,100232,19,20,
101,,19,21,
501,100239,19,21,
501,100240,19,21,
101,,19,22,
101,,19,24,
101,,19,26,
101,,19,36,
101,,19,39,
101,,19,40,
501,100240,19,40,
101,,20,1,
101,,20,3,
101,,20,4,
101,,20,5,
101,,20,6,
101,,20,8,
101,,20,9,
101,,20,14,
101,,20,17,
101,,20,18,
101,,20,19,
101,,20,20,
101,,20,21,
501,100232,20,21,
101,,20,22,
101,,20,24,
101,,20,26,
