route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100001,1,"1","","Kinnear - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/001/n0.html,,
100002,1,"10","","Capitol Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/010/n0.html,,
100003,1,"101","","Renton Transit Center - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/101/n0.html,,
100004,1,"105","","Renton Highlands - Renton Transit Center",3,http://metro.kingcounty.gov/schedules/105/n0.html,,
100005,1,"106","","Renton Transit Center - Skyway - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/106/n0.html,,
100006,1,"107","","Renton Transit Center - Rainier Beach",3,http://metro.kingcounty.gov/schedules/107/n0.html,,
100009,1,"11","","Madison Park - Capitol Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/011/n0.html,,
100011,1,"111","","Lake Kathleen - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/111/n0.html,,
100016,1,"118","","Tahlequah - Vashon - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/118/n0.html,,
100017,1,"119","","Dockton - Vashon - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/119/n0.html,,
100018,1,"12","","Interlaken Park - First Hill - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/012/n0.html,,
100019,1,"120","","Burien TC - Westwood Village - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/120/n0.html,,
100023,1,"124","","Tukwila International Blvd Sta - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/124/n0.html,,
100024,1,"125","","Westwood Vill - S Seattle Coll - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/125/n0.html,,
100026,1,"128","","Southcenter - Alaska Junction - Admiral District",3,http://metro.kingcounty.gov/schedules/128/n0.html,,
100028,1,"13","","Seattle Pacific - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/013/n0.html,,
100030,1,"131","","Burien TC - Georgetown - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/131/n0.html,,
100031,1,"132","","Burien TC - South Park - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/132/n0.html,,
100039,1,"14","","Mt Baker - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/014/n0.html,,
100042,1,"148","","Fairwood - Renton Transit Center",3,http://metro.kingcounty.gov/schedules/148/n0.html,,
100045,1,"150","","Kent Station - Southcenter - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/150/n0.html,,
100048,1,"153","","Kent Sounder Station - Renton Transit Center",3,http://metro.kingcounty.gov/schedules/153/n0.html,,
100060,1,"168","","Maple Valley - Kent Sounder Station",3,http://metro.kingcounty.gov/schedules/168/n0.html,,
100072,1,"181","","Twin Lakes P&R - Auburn Station - Green River Coll",3,http://metro.kingcounty.gov/schedules/181/n0.html,,
100073,1,"182","","Northeast Tacoma - Federal Way TC",3,http://metro.kingcounty.gov/schedules/182/n0.html,,
100074,1,"183","","Federal Way TC - Star Lake - Kent Station",3,http://metro.kingcounty.gov/schedules/183/n0.html,,
100078,1,"187","","Federal Way - Twin Lakes",3,http://metro.kingcounty.gov/schedules/187/n0.html,,
100089,1,"2","","Seattle Pacific - Downtown Seattle - Madrona Park",3,http://metro.kingcounty.gov/schedules/002/n0.html,,
100099,1,"208","","North Bend - Issaquah Transit Center",3,http://metro.kingcounty.gov/schedules/208/n0.html,,
100101,1,"21","","Arbor Heights-Westwood Village-Downtown Seattle",3,http://metro.kingcounty.gov/schedules/021/n0.html,,
100104,1,"212","","Eastgate P&R - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/212/n0.html,,
100113,1,"221","","Education Hill - Crossroads - Eastgate",3,http://metro.kingcounty.gov/schedules/221/n0.html,,
100132,1,"24","","West Magnolia - Downtown Seattle",3,http://metro.kingcounty.gov/schedules/024/n0.html,,
100133,1,"240","","Bellevue Transit Center - Renton Transit Center",3,http://metro.kingcounty.gov/schedules/240/n0.html,,
