table_name,field_name,language,translation,record_id,field_value
stops,stop_name,sv,Taskulavägen,615,
stops,stop_name,sv,Kuppisgatan,941,
stops,stop_name,sv,Rönngränden,1351,
stops,stop_name,sv,Bollhallen,32,
stops,stop_name,sv,Särkilax skola,404,
stops,stop_name,sv,Mäkivaaravägen,1320,
stops,stop_name,sv,Suvelavägen,367,
stops,stop_name,sv,Kivelänperävägen,1308,
stops,stop_name,sv,Varvet,1305,
stops,stop_name,sv,Skolgatan,172,
stops,stop_name,sv,Kiikku,1565,
stops,stop_name,sv,Trätorget,PT5,
stops,stop_name,en,Puutori square,PT5,
stops,stop_name,sv,Levausvägen,1167,
stops,stop_name,sv,Tammela,535,
stops,stop_name,sv,Aspvägen,1662,
stops,stop_name,sv,Nuijamaagatan,1469,
stops,stop_name,sv,Pemargatan,1064,
stops,stop_name,sv,Näsby V,8322,
stops,stop_name,sv,Laihasmäkivägen,628,
stops,stop_name,sv,Fotbollsstadion,1350,
stops,stop_name,sv,Risis V,8247,
stops,stop_name,sv,Porkkagränden,999,
stops,stop_name,sv,Lyftkransgatan,1497,
stops,stop_name,sv,ÅUCS T-sjukhuset,64,
stops,stop_name,en,TYKS T-hospital,64,
stops,stop_name,sv,Wattkastvägen V,8267,
stops,stop_name,sv,Maanpäävägen,403,
stops,stop_name,sv,Suvilinnavägen,365,
stops,stop_name,sv,Kakola,49,
stops,stop_name,sv,Artukais,970,
stops,stop_name,sv,Laureusgatan,1555,
stops,stop_name,sv,Prisma,1804,
stops,stop_name,sv,Dikesbrinken,1188,
stops,stop_name,sv,Lilla Bocksvägen,540,
stops,stop_name,sv,Universitetet (ÅUCS U-sjukhuset),115,
stops,stop_name,en,University (TYKS U-hospital),115,
stops,stop_name,sv,Tranbacksgatan,1687,
stops,stop_name,sv,Syrjälävägen,1728,
stops,stop_name,sv,Lyftkransgatan,806,
stops,stop_name,sv,Åbolandsgatan,1487,
stops,stop_name,sv,Ruotsalavägen,306,
stops,stop_name,sv,Signaliststigen,956,
stops,stop_name,sv,Majamäkigatan,1735,
stops,stop_name,sv,Koloniträdgården,460,
stops,stop_name,sv,Fårvaktargatan,1372,
stops,stop_name,sv,Korvalagatan,447,
stops,stop_name,sv,Ritzgränden,1616,
stops,stop_name,sv,Annängsvägen,1732,
stops,stop_name,sv,Ernholma S,8216,
stops,stop_name,sv,Dalsbruksgatan,1679,
stops,stop_name,sv,Gistgatan,353,
stops,stop_name,sv,Maanpäävägen,433,
stops,stop_name,sv,Notgatan,1741,
stops,stop_name,sv,Risis Ö,8248,
stops,stop_name,sv,Uittamoparken,949,
stops,stop_name,sv,Finnängen V,8179,
stops,stop_name,sv,Stadssjukhuset,856,
stops,stop_name,sv,Nyckelpigsgatan,738,
stops,stop_name,sv,Salinsängsvägen,1299,
stops,stop_name,sv,Logomo,1017,
stops,stop_name,sv,Småvesslegatan,677,
stops,stop_name,sv,Tammimäki,541,
stops,stop_name,sv,Skärgårdsskolan,8324,
stops,stop_name,sv,Karris gata,821,
stops,stop_name,sv,Petrelius,504,
stops,stop_name,sv,Hamngatan,55,
stops,stop_name,sv,Sotalaisgatan,292,
stops,stop_name,sv,Åbo busstation,89,
stops,stop_name,en,Turku bus station,89,
stops,stop_name,sv,Runosbackens hälsostation,982,
stops,stop_name,sv,Luolavuori skola,1721,
stops,stop_name,sv,Lilla Tavastgatan,866,
stops,stop_name,sv,Kukolavägen,344,
stops,stop_name,sv,Kaskisgatan,136,
stops,stop_name,sv,Brinkis N,8172,
stops,stop_name,sv,Salutorget,T3,
stops,stop_name,en,Market Square (City centre),T3,
stops,stop_name,sv,Åbo hamn (Viking),2,
stops,stop_name,en,Turku harbour (Viking),2,
stops,stop_name,sv,Kaerlavägen,619,
stops,stop_name,sv,Koukkarigatan,884,
stops,stop_name,sv,Hongaisstigen,335,
stops,stop_name,sv,Palttagatan,193,
stops,stop_name,sv,Kuralasvängen,1660,
stops,stop_name,sv,Levausvägen,1131,
stops,stop_name,sv,Notgatan,1743,
stops,stop_name,sv,Kungsbäcksvägen,963,
stops,stop_name,sv,Takakirves,621,
stops,stop_name,sv,Lingatan,1714,
stops,stop_name,sv,Annegatan,168,
stops,stop_name,sv,Samppalinna,289,
stops,stop_name,sv,Kolliskogsvägen,1237,
stops,stop_name,sv,Karlavagnsplan,751,
stops,stop_name,sv,Lillheikkilävägen,637,
stops,stop_name,sv,Nätgränden,1746,
stops,stop_name,sv,Sampsagatan,914,
stops,stop_name,sv,Korpoströmsvägen 432 N,8296,
stops,stop_name,sv,Adventsgränden,283,
stops,stop_name,sv,Nyckelpigsgatan,744,
stops,stop_name,sv,Ruohonpäävägen,892,
stops,stop_name,sv,Jahnvägen,1641,
stops,stop_name,sv,Begravningsplatsvägen,378,
stops,stop_name,sv,Hallisvägen,1638,
stops,stop_name,sv,Illoisvägen,406,
stops,stop_name,sv,Sjö-Penilävägen,1291,
stops,stop_name,sv,Ardukavägen,1302,
stops,stop_name,sv,Kähärivägen,1053,
stops,stop_name,sv,Grundvik S,8316,
stops,stop_name,sv,Maunulavägen,393,
stops,stop_name,sv,Notgatan,1742,
stops,stop_name,sv,Sockenskomakaregatan,31,
stops,stop_name,sv,Igelkottsstigen,673,
stops,stop_name,sv,S:t Marie kyrka,267,
stops,stop_name,sv,Turjaparken,687,
stops,stop_name,sv,Gölgatan,244,
stops,stop_name,sv,Martinskyrkan,104,
stops,stop_name,sv,Valkiaisvuorivägen,618,
stops,stop_name,sv,Nummisbackens skola,1826,
stops,stop_name,sv,Skärgårdsvägen 6166 V,8265,
stops,stop_name,sv,Bälgvägen,871,
stops,stop_name,sv,Domkyrkotorget,131,
stops,stop_name,sv,Kaivois,374,
stops,stop_name,sv,Männistövägen,1172,
stops,stop_name,sv,Österretais V,8263,
stops,stop_name,sv,Helga Korsets kapell,434,
stops,stop_name,sv,Nepovägen,313,
stops,stop_name,sv,Mässfältsgatan,678,
stops,stop_name,sv,Hamngatan,3,
stops,stop_name,sv,Ernholma N,8215,
stops,stop_name,sv,Skansbacken,793,
stops,stop_name,sv,Ordonnansgatan,1568,
stops,stop_name,sv,Hännikkögatan,836,
stops,stop_name,sv,Träskändavägen,1280,
stops,stop_name,sv,Lillhagegränden,421,
stops,stop_name,sv,Utmarksvägen,1008,
stops,stop_name,sv,Moisiovägen,1584,
stops,stop_name,sv,Konserthuset,18,
stops,stop_name,sv,Kivimovägen N,8329,
stops,stop_name,sv,Lenholm Ö,8174,
stops,stop_name,sv,Paimala,1090,
stops,stop_name,sv,Kopparövägen N,8166,
stops,stop_name,sv,Dragonparken,1343,
stops,stop_name,sv,Gamla Kungsbäcksvägen,810,
stops,stop_name,sv,Speditionsgatan,1206,
stops,stop_name,sv,Valuvägen,1138,
stops,stop_name,sv,Lepolavägen,1310,
stops,stop_name,sv,Koumvägen V,8243,
