Table,Field Name,Constraint,Value
stops.txt,location_type,enum,"[1,2,3,4]"
stops.txt,wheelchair_boarding,enum,"[0, 1, 2]"
routes.txt,route_type,enum,"[0,1,2,3,4,5,6,7,11,12]"
routes.txt,continuous_drop_off,enum,"[0,1,2,3]"
trips.txt,direction_id,enum,"[0,1]"
routes.txt,continuous_pickup,enum,"[0,1,2,3]"
trips.txt,wheelchair_accessible,enum,"[0,1,2]"
trips.txt,bikes_allowed,enum,"[0,1,2]"
stop_times.txt,pickup_type,enum,"[0,1,2,3]"
stop_times.txt,drop_off_type,enum,"[0,1,2,3]"
stop_times.txt,continuous_pickup,enum,"[0,1,2,3]"
stop_times.txt,continuous_drop_off,enum,"[0,1,2,3]"
stop_times.txt,timepoint,enum,"[0,1]"
calendar.txt,monday,enum,"[0,1]"
calendar.txt,tuesday,enum,"[0,1]"
calendar.txt,wednesday,enum,"[0,1]"
calendar.txt,thursday,enum,"[0,1]"
calendar.txt,friday,enum,"[0,1]"
calendar.txt,saturday,enum,"[0,1]"
calendar.txt,sunday,enum,"[0,1]"
calendar_dates.txt,exception_type,enum,"[1,2]"
fare_attributes.txt,payment_method,enum,"[0,1]"
fare_attributes.txt,transfers,enum,"[1,2]"
frequencies.txt,exact_times,enum,"[0,1]"
transfers.txt,transfer_type,enum,"[0,1,2,3]"
pathways.txt,pathway_mode,enum,"[0,1,2,3,4,5,6,7]"
pathways.txt,is_bidirectional,enum,"[0,1]"
attributions.txt,is_producer,enum,"[0,1]"
