Type,Frictionless Type,Format
ID,string,
Text,string,
URL,string,uri
Timezone,string,
Language code,string,
Phone number,string,
Email,string,email
Latitude,number,
Longitude,number,
Enum,integer,
ID referencing stops.stop_id,string,
ID referencing levels.level_id,string,
ID referencing agency.agency_id,string,
Color,string,
Non-negative integer,interger,
ID referencing routes.route_id,string,
ID referencing calendar.service_id or calendar_dates.service_id,string,
ID referencing shapes.shape_id,string,
ID referencing trips.trip_id,string,
Time,time,
Non-negative float,number,
Date,date,%Y%m%d
ID referencing calendar.service_id or ID,string,
Currency code,string,
ID referencing fare_attributes.fare_id,string,
ID referencing stops.zone_id,string,
Positive Integer,interger,
Non-null Integer,interger,
Float,number,
Positive Float,number,
Text or URL or Email or Phone number,string,
