Type,Constraint,Value
ID,,
Text,,
URL,,
Timezone,,
Language code,,
Phone number,,
Email,,
Latitude,minimum,-180
Latitude,maximum,180
Longitude,minimum,-180
Longitude,maximum,180
Enum,,
ID referencing stops.stop_id,,
ID referencing levels.level_id,,
ID referencing agency.agency_id,,
Color,,
Non-negative integer,minimum,0
ID referencing routes.route_id,,
ID referencing calendar.service_id or calendar_dates.service_id,,
ID referencing shapes.shape_id,,
ID referencing trips.trip_id,,
Time,,
Non-negative float,minimum,0
Date,,
ID referencing calendar.service_id or ID,,
Currency code,,
ID referencing fare_attributes.fare_id,,
ID referencing stops.zone_id,,
Positive Integer,minimum,1
Non-null Integer,,
Float,,
Positive Float,minimum,1.175494e-38
Text or URL or Email or Phone number,,
